city,state,city_lat,city_lng,city_population,city_id
Trenton,NJ,40.2236,-74.7641,290716,0
Trenton,PA,40.2236,-74.7641,290716,1
Newark,NJ,40.7245,-74.1725,282011,2
Newark,NY,40.7245,-74.1725,282011,3
Newark,NE,40.7245,-74.1725,282011,4
Jersey City,NY,40.7161,-74.0682,262075,5
Jersey City,NJ,40.7161,-74.0682,262075,6
Jersey City,NE,40.7161,-74.0682,262075,7
Atlantic City,NJ,39.3797,-74.4527,237054,8
Paterson,NJ,40.9147,-74.1624,145233,9
Elizabeth,NY,40.6657,-74.1912,129216,10
Elizabeth,NJ,40.6657,-74.1912,129216,11
Elizabeth,NE,40.6657,-74.1912,129216,12
Vineland,NJ,39.4653,-74.9981,93239,13
Clifton,NJ,40.8631,-74.1575,85052,14
Camden,PA,39.9362,-75.1073,73562,15
Camden,NJ,39.9362,-75.1073,73562,16
Passaic,NJ,40.8574,-74.1282,69703,17
Passaic,NY,40.8574,-74.1282,69703,18
Union City,NY,40.7674,-74.0323,67982,19
Union City,NJ,40.7674,-74.0323,67982,20
Union City,NE,40.7674,-74.0323,67982,21
Bayonne,NY,40.6661,-74.1141,64897,22
Bayonne,NJ,40.6661,-74.1141,64897,23
Bayonne,NE,40.6661,-74.1141,64897,24
East Orange,NJ,40.7651,-74.2117,64367,25
New Brunswick,NJ,40.487,-74.445,55676,26
West New York,NY,40.7856,-74.0093,52723,27
West New York,NJ,40.7856,-74.0093,52723,28
West New York,AL,40.7856,-74.0093,52723,29
Hoboken,NJ,40.7453,-74.0279,52677,30
Hoboken,NY,40.7453,-74.0279,52677,31
Perth Amboy,NJ,40.5203,-74.2724,51390,32
Perth Amboy,NY,40.5203,-74.2724,51390,33
Perth Amboy,TX,40.5203,-74.2724,51390,34
Plainfield,NJ,40.6154,-74.4157,50317,35
Hackensack,NJ,40.889,-74.0461,44188,36
Hackensack,NY,40.889,-74.0461,44188,37
Sayreville,NJ,40.4656,-74.3237,44173,38
Linden,NJ,40.6251,-74.2381,42361,39
Linden,NY,40.6251,-74.2381,42361,40
Linden,NE,40.6251,-74.2381,42361,41
Kearny,NJ,40.7528,-74.1202,41058,42
Kearny,NY,40.7528,-74.1202,41058,43
Fort Lee,NY,40.8509,-73.9712,38605,44
Fort Lee,NJ,40.8509,-73.9712,38605,45
Franklin,NJ,41.1101,-74.5886,33153,46
New York,NY,40.6943,-73.9249,18713220,47
Brooklyn,NY,40.6501,-73.9496,2559903,48
Brooklyn,NE,40.6501,-73.9496,2559903,49
Brooklyn,NJ,40.6501,-73.9496,2559903,50
Manhattan,NY,40.7834,-73.9662,1628706,51
Manhattan,NJ,40.7834,-73.9662,1628706,52
Bronx,NJ,40.8501,-73.8662,1418207,53
Bronx,NY,40.8501,-73.8662,1418207,54
Buffalo,NY,42.9016,-78.8487,914341,55
Rochester,NY,43.168,-77.6162,703952,56
Albany,NY,42.6664,-73.7987,586383,57
Staten Island,NJ,40.5834,-74.1496,476143,58
Staten Island,NY,40.5834,-74.1496,476143,59
Syracuse,NY,43.0409,-76.1438,404223,60
Poughkeepsie,NY,41.6949,-73.921,394760,61
Yonkers,NY,40.9466,-73.8674,200370,62
Yonkers,NJ,40.9466,-73.8674,200370,63
Binghamton,NY,42.1014,-75.9093,148145,64
New Rochelle,NY,40.9305,-73.7836,78557,65
Saratoga Springs,NY,43.0674,-73.7775,68028,66
Mount Vernon,NY,40.9136,-73.8291,67345,67
Schenectady,NY,42.8025,-73.9276,65273,68
Brentwood,NY,40.7839,-73.2522,62942,69
Middletown,NY,41.4459,-74.4236,58592,70
White Plains,NY,41.022,-73.7549,58109,71
Philadelphia,PA,40.0077,-75.1339,5649300,72
Philadelphia,NJ,40.0077,-75.1339,5649300,73
Pittsburgh,PA,40.4396,-79.9762,1703266,74
Allentown,PA,40.5961,-75.4756,683794,75
Lancaster,PA,40.0421,-76.3012,401524,76
Reading,PA,40.34,-75.9267,267155,77
York,PA,39.9651,-76.7315,233184,78
Erie,PA,42.1168,-80.0733,184484,79
Pottstown,PA,40.2507,-75.6444,108758,80
State College,PA,40.7909,-77.8568,87723,81
Lebanon,PA,40.3412,-76.4227,78302,82
Bethlehem,PA,40.6266,-75.3679,75815,83
Altoona,PA,40.5082,-78.4007,74829,84
Hanover,PA,39.8117,-76.9835,68165,85
Johnstown,PA,40.3258,-78.9193,63141,86
East Stroudsburg,PA,41.0023,-75.1779,57577,87
Williamsport,PA,41.2398,-77.0371,53861,88
Levittown,NJ,40.1537,-74.85300000000002,51726,89
Levittown,PA,40.1537,-74.85300000000002,51726,90
Bloomsburg,PA,41.0027,-76.4561,49840,91
Wilkes Barre,PA,41.2468,-75.8759,40766,92
