index,city,state,lat,lng
0,Albany,NY,42.6664,-73.7987
1,Allentown,PA,40.5961,-75.4756
2,Altoona,PA,40.5082,-78.4007
3,Atlantic City,NJ,39.3797,-74.4527
4,Bayonne,NJ,40.6661,-74.1141
5,Bethlehem,PA,40.6266,-75.3679
6,Binghamton,NY,42.1014,-75.9093
7,Bloomsburg,PA,41.0027,-76.4561
8,Brentwood,NY,40.7839,-73.2522
9,Bronx,NY,40.8501,-73.8662
10,Brooklyn,NY,40.6501,-73.9496
11,Buffalo,NY,42.9016,-78.8487
12,Camden,NJ,39.9362,-75.1073
13,Clifton,NJ,40.8631,-74.1575
14,East Orange,NJ,40.7651,-74.2117
15,East Stroudsburg,PA,41.0023,-75.1779
16,Elizabeth,NJ,40.6657,-74.1912
17,Erie,PA,42.1168,-80.0733
18,Fort Lee,NJ,40.8509,-73.9712
19,Franklin,NJ,41.1101,-74.5886
20,Hackensack,NJ,40.889,-74.0461
21,Hanover,PA,39.8117,-76.9835
22,Hoboken,NJ,40.7453,-74.0279
23,Jersey City,NJ,40.7161,-74.0682
24,Johnstown,PA,40.3258,-78.9193
25,Kearny,NJ,40.7528,-74.1202
26,Lancaster,PA,40.0421,-76.3012
27,Lebanon,PA,40.3412,-76.4227
28,Levittown,PA,40.1537,-74.85300000000002
29,Linden,NJ,40.6251,-74.2381
30,Manhattan,NY,40.7834,-73.9662
31,Middletown,NY,41.4459,-74.4236
32,Mount Vernon,NY,40.9136,-73.8291
33,New Brunswick,NJ,40.487,-74.445
34,New Rochelle,NY,40.9305,-73.7836
35,New York,NY,40.6943,-73.9249
36,Newark,NJ,40.7245,-74.1725
37,Passaic,NJ,40.8574,-74.1282
38,Paterson,NJ,40.9147,-74.1624
39,Perth Amboy,NJ,40.5203,-74.2724
40,Philadelphia,PA,40.0077,-75.1339
41,Pittsburgh,PA,40.4396,-79.9762
42,Plainfield,NJ,40.6154,-74.4157
43,Pottstown,PA,40.2507,-75.6444
44,Poughkeepsie,NY,41.6949,-73.921
45,Reading,PA,40.34,-75.9267
46,Rochester,NY,43.168,-77.6162
47,Saratoga Springs,NY,43.0674,-73.7775
48,Sayreville,NJ,40.4656,-74.3237
49,Schenectady,NY,42.8025,-73.9276
50,State College,PA,40.7909,-77.8568
51,Staten Island,NY,40.5834,-74.1496
52,Syracuse,NY,43.0409,-76.1438
53,Trenton,NJ,40.2236,-74.7641
54,Union City,NJ,40.7674,-74.0323
55,Vineland,NJ,39.4653,-74.9981
56,West New York,NJ,40.7856,-74.0093
57,White Plains,NY,41.022,-73.7549
58,Wilkes Barre,PA,41.2468,-75.8759
59,Williamsport,PA,41.2398,-77.0371
60,Yonkers,NY,40.9466,-73.8674
61,York,PA,39.9651,-76.7315
